4;ACHIOETE ENTERO;3;15;22
4;AGUA CIELO X 7 L;16;6.5;22
4;AGUA CIELO SIN GAS X 625 ML;21;0.92;22
4;AJI PANCA ENTERO;3;12;22
4;AJI PAPRICA MOLIDO;3;15;22
4;AJINOMOTO X KG;10;9.5;22
4;AJINOMOTO GRANEL;3;7;22
4;ANIS;3;22;22
4;API;3;6;22
4;ARVERJA SECA;3;3.5;22
4;ATUN FILETE;19;4.5;22
4;ATUN FILETE;2;182.64;22
4;ATUN GRATED X 170 GR;19;2.5;22
4;AVENA;3;3.2;22
4;AVENA SANTA CATALINA X KG;3;3.7;22
4;AVENA TRES OSITOS PRECOCIDA X 5 KG;12;23.8;22
4;AZUCAR BLANCA X 50;5;128;22
4;AZUCAR BLANCA ;3;2.7;22
4;AZUCAR RUBIA CASA GRANDE/CARTAVIO X 50 KG;5;132;22
4;AZUCAR RUBIA X 50;5;110;22
4;CAFÉ ALTOMAYO TIPO CLÁSICO VIDRIO X 50 GR;9;6.5;22
4;CAFÉ VALENZUELA T/EXPORTACION X 500 GR;11;20.5;22
4;CALDO DE GALLINA X 26;2;10.5;22
4;CALDO MAGGIE CARNE X 1 KG;8;17;22
4;CANELA CHINA FURONG X 100 GR;12;4;22
4;CANELA CHINA FURONG X 400 GR;12;7.5;22
4;CANELA ENTERA;3;68;22
4;CANELA MOLIDA;3;42;22
4;CASCARA DE CACAO;3;4;22
4;CEBADA TOSTADA;3;3.8;22
4;CESINA;3;28;22
4;CHALONA;3;28;22
4;CHANCACA;11;3;22
4;CHOCOLATE CAÑONAZO x 24;11;9.7;22
4;CHOCOLATE SOL DEL CUSCO 300 GR;10;10.2;22
4;CHOCOLATE SOL DEL CUSCO 100 GR;10;3.4;22
4;CHOCHOCA ENTERA KL;3;8;22
4;CHOCHOCA MOLIDA X KG;3;5.5;22
4;CHUÑO BLANCO GRANDE;3;12;22
4;CHUÑO NEGRO MOLIDO;3;4.5;22
4;CHUÑO SANTIS MANDIOCA X KG;3;5.4;22
4;CHUÑO SANTIS MANDIOCA X 25 KG;5;119;22
4;CLAVO DE OLOR;3;48;22
4;COCOA AGRANEL X KL;3;25;22
4;COCOA WINTERS LA DE SIEMPRE X 1 KG;12;29;22
4;COLADOR N4 REY MULTIUSO;10;7;22
4;COLAPIZ EN SOBRE X 12 X ;2;16;22
4;COMINO MOLIDO;3;16;22
4;CREMA ESPARRAGO MAGGIE X 12;12;19.2;22
4;CREMA MAGGIE DE ESPARRAGO X 1 KG;8;24.5;22
4;CUCHARAS DESCARTABLES GRANDES X 50;12;3.13;22
4;CUCHARILLA X DOC;17;8;22
4;DURAZNO ARICA X 820 GR;19;5.5;22
4;ECCO NESTLE X 195 GR;19;6.9;22
4;ESCENCIA DE VAINILLA NEGRITA X 1 LT;21;7.5;22
4;FIDEO ALIANZA CANUTO GRANDE 250 GR;12;0.8;22
4;FIDEO ALIANZA SPAGUETTI X 500 GR;10;1.55;22
4;FIDEO ALIANZA SURTIDO X 5 KG;11;17.5;22
4;FIDEO ALIANZA TALLARIN GRUESO X 500 GR;11;1.6;22
4;FIDEO ALIANZA CABELLO DE ANGEL X 250 GR;12;0.9;22
4;FIDEOS CANUTO X 10 KG;12;35;22
4;FIDEOS CANUTO X 5KG;12;11.97;22
4;FIDEO CORBATA LAVAGGI X 5KG;11;17.5;22
4;FIDEO DON MAXIMO ARITO X 250 GR;11;0.78;22
4;FIDEO DON MAXIMO CABELLO DE ANGEL X 10 KG;11;31;22
4;FIDEO DON MAXIMO CABELLO DE ANGEL X 250 GR;11;0.78;22
4;FIDEO DON MAXIMO CANELON X 250 GR X 10 KG;11;31;22
4;FIDEO DON MÁXIMO SURTIDO X 250 GR X 10 KG;11;31;22
4;FIDEO DON MÁXIMO SPAGUETTI X 10 KG;11;31;22
4;FIDEO DON MÁXIMO SPAGUETTI X 500 GR;12;1.55;22
4;FIDEO DON MAXIMO TALLARIN X 500 GR;12;1.55;22
4;FIDEO DV ARITO X 250 GR;11;1.18;22
4;FIDEOS DV LETRAS/NUMERADAS X 250 GR;12;1.35;22
4;FIDEO DV CANUTO RAYADO #31 X 250 GR;12;1.23;22
4;FIDEO DV TORNILLO X 250 GR;12;1.24;22
4;FIDEO DV MUNICION X 250 GR;12;1.28;22
4;FIDEO CANUTO MOLITALIA X 250 GR;8;1.05;22
4;FIDEO DV CODO CHICO X 250 GR;12;1.35;22
4;FIDEO LETRITAS MOLITALIA X 250 GR;12;1.1;22
4;FIDEO LAVAGGI TORNILLO X 250 GR;11;0.85;22
4;FIDEO LAVAGGI CABELLO DE ANGEL X 250 GR;11;0.85;22
4;FIDEO MOLITALIA ARITO X 250 GR;11;1.05;22
4;FIDEO MOLITALIA CABELLO DE ANGEL X 250 GR;11;1.1;22
4;FIDEO MOLITALIA CODO CHICO X 250 GR;12;1.08;22
4;FIDEO MOLITALIA LETRITAS X 250 GR;12;1.1;22
4;FIDEO MOLITALIA MUNICION X 250 GR;10;1.05;22
4;FIDEO MOLITALIA TALLARIN X 500 GR;11;1.95;22
4;FIDEO NICOLINI ARITO X 250 GR;11;0.95;22
4;FIDEO SPAGUETTI X 500 GR;11;1.75;22
4;FIDEO SPAGUETTI X 10 KG;12;27.71;22
4;FIDEOS TALLARIN X 500 GR LAVAGGI;11;1.6;22
4;FIDEOS TALLARIN X 10 KG;12;25;22
4;FIDEO VICTORIA MACARRONES X KG;3;3.7;22
4;FILETE DE ATÚN COMPAS X 185 GR;19;4.5;22
4;FILETE DE ATÚN A-1 X 170 GR;19;4.3;22
4;FILETE DE ATÚN GLORIA 170 GR;19;4.4;22
4;FLAN DE VAINILLA X 12 X 100;12;17.58;22
4;FLAN GEMINIS X 5 KG;11;39;22
4;FLAN LEAL X 5 KG;11;35;22
4;FLAN NEGRITA VAINILLA X 100 GR;8;1.7;22
4;FLAN ROYAL CHOCOLATE X 80 GR;8;2;22
4;FLAN UNIVERSAL CHOCOLATE X 150 GR;8;2.6;22
4;FOSFOROS X 10;2;20;22
4;FOFOROS INTI PAQ. X 10;11;1.9;22
4;GALLETAS CASINO ALFAJOR X 6;11;3;22
4;GALLETAS CASINO FRESA X 6;11;3;22
4;GALLETAS CASINO CHOCOLATE X 6;11;3.1;22
4;GALLETAS CASINO LUCUMA X 6;11;3;22
4;GALLETAS CASINO MENTA X 6;11;3;22
4;GALLETAS CASINO VAINILLA X 6;11;3;22
4;GALLETA CHARADA CHOCOLATE X 6;11;3.3;22
4;GALLETAS CHOCUBU, VICTORIA X 6 UND;11;2.82;22
4;GALLETAS CHOMP NARANJA X 6;11;2.9;22
4;GALLETAS CHOMP CHOCOLATE X 6 UND;11;2.9;22
4;GALLETA CORONITA FRESA GRANDE X 6;11;3.2;22
4;GALLETAS DIA SODA X 250 GR;11;1.3;22
4;GALLETAS DIA VAINILLA X 250 GR;11;1.3;22
4;GALLETAS FRAK CHOCOLATE X 6;11;2.9;22
4;GALLETAS GRETEL CHOCOLATE;11;2.75;22
4;GALLETAS GRETEL MANJAR X 6 UND;11;2.75;22
4;GALLETAS RELLENITAS DIA CHOCOLATE X 8 UND;11;2.1;22
4;GALLETAS RELLENITAS DIA COCO X 8 UND;11;2.1;22
4;GALLETAS RELLENITAS DIA FRESA X 8 UND;11;2.1;22
4;GALLETAS RELLENITAS DIA LIMÓN X 8 UND;11;2.1;22
4;GALLETAS RELLENITAS DIA VAINILLA X 8 UND;11;2.1;22
4;GALLETAS RELLENITAS SURTIDAS X 8 UND;11;2.1;22
4;GALLETAS RELLENITAS SAN JORGE X 40 UND;2;11;22
4;GALLETAS SAN JORGE VAINILLA X 40 ;2;7;22
4;GALLETAS SODA VICTORIA X 6 PQT;11;2.25;22
4;GALLETAS DIA SODA X 250 GR;11;1.3;22
4;GALLETAS TENTACION CHOCOLATE X 6 UND;11;2.9;22
4;GALLETAS TENTACION COCO X 6 UND;11;2.9;22
4;GALLETAS TENTACIÓN NARANJA X 6 UND;11;2.9;22
4;GALLETAS TUAREG X 6;11;2.8;22
4;GALLETAS VAINILLA FIELD X 6;11;2.75;22
4;GALLETAS VAINILLA X 40 PQT;2;7.5;22
